"filename", "language", "Go", "Makefile", "Markdown", "Go Checksum File", "Go Module File", "Shell Script", "C", "YAML", "Go Template File", "Python", "JSON", "Properties", "Docker", "Go Work File", "comment", "blank", "total"
"d:\workspace\GO\src\ctyun-code.srdcloud.cn\aiplat\cwai-watcher\Makefile", "Makefile", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"d:\workspace\GO\src\ctyun-code.srdcloud.cn\aiplat\cwai-watcher\README.md", "Markdown", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 42
"d:\workspace\GO\src\ctyun-code.srdcloud.cn\aiplat\cwai-watcher\build\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 5, 13
"d:\workspace\GO\src\ctyun-code.srdcloud.cn\aiplat\cwai-watcher\cmd\server\app\cmd.go", "Go", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13, 84
"d:\workspace\GO\src\ctyun-code.srdcloud.cn\aiplat\cwai-watcher\cmd\server\app\daemon.go", "Go", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14, 76
"d:\workspace\GO\src\ctyun-code.srdcloud.cn\aiplat\cwai-watcher\cmd\server\server.go", "Go", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 27
"d:\workspace\GO\src\ctyun-code.srdcloud.cn\aiplat\cwai-watcher\conf\config.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 4, 14
"d:\workspace\GO\src\ctyun-code.srdcloud.cn\aiplat\cwai-watcher\deploy\deploy.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 3, 88
"d:\workspace\GO\src\ctyun-code.srdcloud.cn\aiplat\cwai-watcher\doc\api.md", "Markdown", 0, 0, 312, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 356
"d:\workspace\GO\src\ctyun-code.srdcloud.cn\aiplat\cwai-watcher\go.mod", "Go Module File", 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 60
